date,main_numbers,bonus_numbers,scope,winners_rank_1,winners_rank_2,winners_rank_3,winners_rank_4,winners_rank_5,winners_rank_6,winners_rank_7,winners_rank_8,winners_rank_9,winners_rank_10,winners_rank_11,winners_rank_12,winners_rank_13
2018-06-12,7 21 23 36 38,6 8,europe,0,5,5,40,571,1387,1374,19025,26488,60413,96830,366496,799959
2018-06-15,23 26 33 38 49,1 12,europe,0,3,3,24,581,1188,1542,16457,24925,75404,88960,368104,1112523
2018-06-19,7 19 26 42 50,4 9,europe,1,3,7,37,630,1651,1502,22199,25959,58225,116754,370530,809048
2018-06-22,14 25 39 41 44,2 8,europe,0,2,1,42,590,1910,1409,27282,28705,62370,155713,419424,900741
2018-06-26,15 16 20 34 50,4 7,europe,0,0,2,19,383,1168,893,18939,20424,43238,110788,327131,668626
2018-06-29,15 21 23 40 48,3 12,europe,0,1,10,23,592,1026,1607,15330,28679,73315,81888,427917,1087939
2018-07-03,1 12 15 29 48,3 5,europe,0,3,4,45,641,1768,1334,25492,28960,55949,133723,410279,782597
2018-07-06,8 30 33 38 48,2 10,europe,0,2,5,40,693,1463,1507,21135,30869,74041,116181,452469,1087038
2018-07-10,3 8 26 33 45,7 10,europe,1,1,3,20,622,1218,1444,17955,27562,62996,95468,401436,910841
2018-07-13,1 4 14 21 49,2 12,europe,1,2,5,30,898,1409,2380,20614,37456,101708,108026,533918,1413912
2018-07-17,4 6 27 48 50,1 11,europe,0,2,5,28,456,999,1009,14088,19831,48717,73899,290388,751084
2018-07-20,2 15 40 43 46,3 6,europe,0,2,3,23,505,1389,1169,22700,25594,55549,139000,411723,869397
2018-07-24,2 4 23 39 40,3 9,europe,0,2,5,37,477,1403,1003,21546,22570,47661,120858,354748,736430
2018-07-27,11 17 22 23 41,6 11,europe,0,2,11,33,821,1714,2151,23791,37344,92897,118555,516868,1282773
2018-07-31,20 25 34 42 45,6 11,europe,0,3,2,19,484,1102,1057,16092,21630,52120,87563,332174,802836
2018-08-03,7 26 36 38 43,6 12,europe,0,1,9,40,674,1316,1727,19562,30228,79901,104053,447263,1196031
2018-08-07,16 28 29 30 36,8 10,europe,0,4,7,24,520,1188,1208,17843,25528,60531,94854,385045,908366
2018-08-10,18 20 36 43 44,3 9,europe,0,8,4,33,702,1972,1537,34275,34730,73897,192343,545017,1135029
2018-08-14,1 15 18 25 31,9 11,europe,0,2,10,35,767,1490,2154,19855,33822,83888,106042,468648,1136229
2018-08-17,2 15 18 24 43,8 12,europe,0,2,9,37,899,1509,2270,22340,39024,102396,116950,567326,1471600
2018-08-21,16 23 42 43 49,10 12,europe,1,6,5,16,539,1262,1719,18482,28354,79546,99132,422529,1223764
2018-08-24,3 14 31 36 50,1 12,europe,0,4,5,21,502,1157,1432,17460,24235,67242,91952,367385,1050501
2018-08-28,4 16 32 42 46,8 12,europe,0,5,7,16,471,795,1100,10991,19764,48400,59837,280049,713072
2018-08-31,4 30 31 38 42,4 6,europe,0,4,35,32,545,1754,1228,27721,29770,63493,153968,463635,992574
2018-09-04,5 14 28 30 47,4 11,europe,1,1,9,28,575,1122,1477,16007,25731,62532,83809,364313,900468
2018-09-07,4 23 27 31 50,1 8,europe,0,4,9,31,798,1651,1716,23071,38761,78973,119491,485422,1091396
2018-09-11,9 18 32 38 46,2 3,europe,0,4,4,19,545,983,1107,14673,24135,48166,81349,351074,702612
2018-09-14,1 3 33 40 45,3 4,europe,0,1,11,29,638,1386,1354,21499,32430,64084,120195,506679,1006517
2018-09-18,3 8 10 32 45,4 12,europe,0,4,2,18,530,956,1300,13133,22813,64514,69639,339612,941811
2018-09-21,5 7 21 25 37,3 4,europe,0,7,21,113,2127,3640,4472,49277,86771,179843,240699,1163577,2399057
2018-09-25,6 15 20 30 38,4 7,europe,0,2,9,55,1074,2897,2210,39010,48838,101071,204728,676099,1403251
2018-09-28,2 4 8 27 50,2 9,europe,0,5,6,74,1699,3631,3238,52206,71617,142427,262899,964818,1974317
2018-10-02,7 17 29 37 45,3 11,europe,1,17,30,67,1786,2737,3920,34237,60548,136208,170803,758397,1692420
2018-10-05,8 16 24 26 35,3 11,europe,1,7,11,32,980,1588,2481,21245,37906,91879,112999,501210,1189395
2018-10-09,3 12 36 44 45,8 11,europe,0,2,3,16,463,887,1070,13846,21500,51149,76417,324411,777337
2018-10-12,4 9 12 31 43,5 8,europe,0,5,7,61,868,2667,1937,36992,38623,82644,191325,552096,1131340
2018-10-16,15 28 37 40 42,1 6,europe,0,4,6,30,514,1120,1271,16422,22455,53476,91279,327795,765721
2018-10-19,1 3 29 47 48,3 12,europe,0,0,2,38,569,1174,1489,17937,29325,68260,96546,468942,1114658
2018-10-23,1 2 5 21 32,2 12,europe,0,1,5,16,555,990,1360,15271,29372,69216,75895,391415,975321
2018-10-26,5 18 21 31 35,6 9,europe,0,14,11,44,1026,2278,2213,32558,42133,92371,169611,597316,1290913
2018-10-30,17 23 27 43 44,1 12,europe,0,4,10,31,592,1167,2228,16405,26413,92084,86845,373525,1173434
2018-11-02,5 15 17 37 44,7 11,europe,1,2,13,49,1055,2091,2164,29872,45644,96543,146471,627533,1369528
2018-11-06,14 24 36 40 43,2 9,europe,0,1,3,27,499,1235,1043,17819,21953,47284,103191,333416,710321
2018-11-09,14 17 32 37 49,11 12,europe,0,4,8,33,712,1155,1795,17726,28929,83543,92973,413892,1239823
2018-11-13,2 7 10 13 42,3 6,europe,0,3,6,49,822,1890,1758,26035,35910,74472,124043,465333,959399
2018-11-16,9 10 13 28 41,1 12,europe,1,5,5,25,646,1378,2124,20500,33081,100139,105840,463035,1410948
2018-11-20,6 19 39 45 48,7 12,europe,0,2,2,14,449,810,1103,11124,19323,48162,59057,286781,710398
2018-11-23,5 8 25 26 30,3 10,europe,0,5,10,45,1024,1768,2257,23284,39348,93177,115235,515238,1202910
2018-11-27,4 16 17 18 32,2 11,europe,0,2,5,25,579,1178,1279,16746,25369,60887,87358,368176,873538
2018-11-30,3 10 12 23 26,1 12,europe,0,9,26,39,1103,1744,3828,22820,40250,133500,112144,502706,1567754
2018-12-04,19 20 21 42 45,8 9,europe,0,1,4,18,527,1133,1006,17133,25319,51597,94158,402988,812784
2018-12-07,11 17 26 37 48,1 10,europe,0,4,19,33,756,1439,1989,20297,33768,91970,108637,486625,1329305
